# TARGET LOCATIONS
# Lon[deg] Lat[deg]
136.9878 36.8520
136.7053 34.4871
136.6515 36.5661
136.2588 35.2675
136.2133 36.0639
136.1788 35.1539
136.1684 34.9736
136.1201 35.1158
136.0894 35.1382
136.0891 35.1369
136.0823 35.0875
135.8692 35.0064
135.8691 35.0056
135.8642 35.0117
135.8592 35.0143
135.8592 35.0120
135.8376 34.6870
135.8306 34.6851
135.8189 34.9003
135.8132 34.8900
135.8063 34.8930
135.8043 34.9153
135.8037 35.0539
135.8032 35.0498
135.7967 34.8288
135.7900 35.0087
135.7856 34.9947
135.7852 34.6680
135.7849 34.9951
135.7846 34.9948
135.7845 34.9956
135.7845 34.9951
135.7845 34.9948
135.7839 34.9952
135.7830 34.9953
135.7828 34.9954
135.7811 35.0098
135.7810 35.0192
135.7809 35.0093
135.7802 35.0096
135.7792 34.9986
135.7783 35.0037
135.7754 34.9904
135.7752 34.9635
135.7747 34.9890
135.7729 34.9916
135.7729 35.0145
135.7728 35.0068
135.7724 35.0383
135.7719 34.9919
135.7714 34.9909
135.7708 34.9996
135.7705 34.9967
135.7703 34.9914
135.7696 34.9957
135.7688 34.9898
135.7683 34.9953
135.7680 35.0168
135.7677 35.0074
135.7673 35.0247
135.7671 35.0163
135.7670 35.0179
135.7667 35.0189
135.7666 35.0270
135.7665 34.9904
135.7659 34.9311
135.7651 34.9427
135.7651 35.0223
135.7651 35.0227
135.7647 35.0251
135.7646 35.0225
135.7642 34.9988
135.7642 35.0217
135.7637 35.0239
135.7632 35.0188
135.7632 35.0177
135.7630 35.0181
135.7630 34.9913
135.7629 35.0257
135.7628 35.0254
135.7628 35.0260
135.7626 35.0257
135.7625 35.0249
135.7625 35.0246
135.7624 35.0013
135.7624 35.0257
135.7623 35.0263
135.7622 35.0232
135.7618 35.0263
135.7618 35.0093
135.7617 35.0244
135.7613 35.0245
135.7613 34.9996
135.7606 35.0041
135.7596 34.9989
135.7587 34.9295
135.7575 34.9991
135.7561 35.0555
135.7560 34.9910
135.7540 35.0291
135.7527 34.9958
135.7527 34.9911
135.7521 34.9898
135.7519 35.5136
135.7519 35.0263
135.7518 35.0260
135.7517 34.9897
135.7511 35.0129
135.7510 35.0130
135.7510 35.0128
135.7510 34.9909
135.7507 34.9907
135.7507 35.0140
135.7503 35.0131
135.7502 35.0133
135.7499 35.0156
135.7499 35.0134
135.7497 35.0135
135.7497 35.0067
135.7496 35.0137
135.7494 35.0139
135.7494 35.0142
135.7494 34.9915
135.7494 34.9915
135.7493 35.0166
135.7486 35.0153
135.7484 35.0140
135.7484 35.0138
135.7483 35.0131
135.7483 35.0129
135.7482 35.0126
135.7470 35.0270
135.7468 35.0072
135.7468 35.0142
135.7464 35.0129
135.7454 35.0115
135.7432 35.0120
135.7417 35.0169
135.7351 35.0305
135.7233 35.0218
135.7205 34.9035
135.7183 34.9046
135.7138 35.0311
135.6786 35.0284
135.6696 35.0550
135.6489 34.8185
135.6341 35.0579
135.5949 35.0095
135.5903 35.0092
135.5885 35.0091
135.5871 35.0081
135.5810 35.0135
135.5738 35.0179
135.5720 35.0199
135.5704 35.0227
135.5566 35.0305
135.5112 34.6849
135.4691 35.1055
135.4260 34.8268
135.3686 34.7457
134.8743 35.4605
134.8234 35.5446
132.7340 35.3393
